n_layers,n_neurons,n_samples,loss1,acc1,loss2,acc2
4,100,30000,0.31543614125365005,0.9104,0.6272454258912259,0.7978
4,200,30000,0.24730580490171333,0.9303,0.37816929179144904,0.8899
4,300,30000,0.2225493118923635,0.9376,0.3361744517670029,0.902
4,500,30000,0.21330904080182067,0.9398,0.3309663708828694,0.9052
4,700,30000,0.20247129928908722,0.9442,0.32177140859018233,0.9105
