n_layers,n_neurons,n_samples,loss1,acc1,loss2,acc2
2,200,30000,0.5354572702794165,0.8316,0.7180323028264538,0.8216
3,200,30000,0.6550891043859544,0.7875,1.4282642798749003,0.6935
4,200,30000,0.7304490615797277,0.7536,2.176271762741748,0.4403
5,200,30000,0.7960858248188504,0.7333,2.2889271700620664,0.1135
6,200,30000,0.8829387178399748,0.696,2.3005804605619002,0.1135
7,200,30000,0.9608333718169353,0.6492,2.301670310506879,0.1135
8,200,30000,1.0260130685943567,0.6038,2.301279838465695,0.1135
